codigo;codigo_estacao;nome_estacao;subbacia_codigo;data;parametro;valor;latitude;longitude;municipio;uf;responsavel;operadora;origem_dados;status_estacao;unidade;data_consulta
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Bateria;12.9;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;14/10/2021 14:06:13
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;ChuvaAcum.;732.0;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Nivel;146.0;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Potencia;42.0;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Vazao;0.13;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
9736190.0;39689000;CORRENTES II;39;2021-04-14 18:45:00;Bateria;12.7;-9.1242;-36.3392;CORRENTES;PE;ANA;CPRM;RHN;Ativo;PE;
9736190.0;39689000;CORRENTES II;39;2021-04-14 18:45:00;ChuvaAcum.;238.2;-9.1242;-36.3392;CORRENTES;PE;ANA;CPRM;RHN;Ativo;PE;
9736190.0;39689000;CORRENTES II;39;2021-05-03 22:00:00;Potencia;43.0;-9.1242;-36.3392;CORRENTES;PE;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;Bateria;13.3;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;ChuvaAcum.;62.0;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;Nivel;247.0;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
