Data;Evapotranspiracao;Insolacao;Precipitacao;TemperaturaMaxima;TemperaturaMinima;UmidadeRelativa;CasosDengue
31/01/2015;46.6;;46.6;35.985;23.805;50.25;15
28/02/2015;91.3;162.6;84.3;34.378;23.596;64.821;13
31/03/2015;;;;;;;64
30/04/2015;74.124;268.1;41.3;33.736;22.353;67.566;205
31/05/2015;32.549;242.7;19.7;34.377;21.954;56.258;97
30/06/2015;;;;;;;44
31/07/2015;;;0;34.823;22.412;42.058;6
31/08/2015;4.253;325.3;0;36.151;21.906;42.838;22
30/09/2015;1.282;326.4;0.6;38.586;23.336;39.6;
31/10/2015;3.460;328.6;3.4;38.925;25.609;40.709;1
30/11/2015;0.603;321.4;0.6;39.386;26.346;39.066;3
31/12/2015;;;;;;;5
31/01/2016;166.854;158.1;332.4;33.006;23.625;75.310;10
29/02/2016;143.118;268.6;86.3;35.227;22.527;68.75;12
31/03/2016;123.057;247.6;97;35;23.964;73.483;17
30/04/2016;20.588;273.3;5.9;36.29;23.606;62.433;91
31/05/2016;34.588;280.6;32.6;36.522;23.012;55.709;37
30/06/2016;0.359;276.7;0;35.306;21.486;54.4;15
31/07/2016;0.0714;307.7;0;35.245;20.912;47.903;15
31/08/2016;0.014;329;0;36.645;21.112;43.161;9
30/09/2016;7.702;301.8;7.7;37.703;24.406;44.133;9
31/10/2016;8.800;306.6;8.8;38.612;25.561;41.580;6
30/11/2016;10.300;279.8;10.3;38.686;26.493;43.7;3
31/12/2016;;;;;;;4
31/01/2017;48.6;217;48.6;35.909;24;63.645;8
28/02/2017;80.5;149;80.5;33.260;23.296;79.629;5
31/03/2017;;;92.6;33.170;22.888;84.823;3
30/04/2017;81.533;238.2;46.7;35.163;22.923;71.966;5
31/05/2017;38.991;254;26.3;36.451;23.396;56.612;50
30/06/2017;4.575;249;2.6;34.653;22.156;56.433;83
31/07/2017;0.381;249.8;0;33.222;21.293;51.451;7
31/08/2017;0.101;320.3;0;36.661;21.958;44.290;17
30/09/2017;;;0;36.147;22.905;42.437;29
31/10/2017;2;324.3;0;38.725;25.709;41.806;3
30/11/2017;4.8;255.2;4.8;38.2;26.06;46.166;
31/12/2017;100.6;;;;;;
31/01/2018;107.8;198.8;107.8;34.648;23.2;72.8;1
28/02/2018;132.680;134.3;143.6;32.314;23.317;84.666;
31/03/2018;155.712;225.4;156.7;33.306;23.348;82.857;
30/04/2018;80.175;210.4;74.6;32.38;22.55;78.724;3
31/05/2018;5.080;227.2;0;33.961;21.696;61.633;2
30/06/2018;0.987;284.8;0;34.5;21.146;54.333;6
31/07/2018;0.208;291.9;0;34.261;20.790;53.4;3
31/08/2018;0.047;311.3;0;36.177;22.138;49.096;3
30/09/2018;0.007;317.9;0;37.656;24.216;45.5;2
31/10/2018;24.600;287.5;25.1;37.970;25.209;45.258;7
30/11/2018;;;;;;;
31/12/2018;155.736;192.8;172.6;33.025;22.412;78.612;
31/01/2019;135.403;209;68.5;34.333;22.873;74.923;
28/02/2019;144.763;164.5;201.8;34.2;23.211;81.666;
31/03/2019;151.274;;180.5;33.520;22.958;79.04;
30/04/2019;143.912;;172.8;33.267;22.788;76.846;5
31/05/2019;101.368;;30.8;34.359;22.15;63.370;71
30/06/2019;28.831;;8.2;33.464;20.479;49.5;124
31/07/2019;;;;;;;92
31/08/2019;;;0;34.655;21.3;44.692;31
30/09/2019;;;0;37.147;23.513;44.25;8
31/10/2019;;;;;;;
30/11/2019;;;;;;;1
31/12/2019;;;5.6;;;;
