id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,30,24,2019-03-16,0.18,3,0
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,30,9,2018-03-14,0.07,3,0
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,508,2019-10-28,3.90,1,304
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596,-97.7837,Private room,40,1,257,2019-11-03,2.20,1,13
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,3,104,2019-11-05,0.86,1,14
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,129,3,220,2019-11-11,2.21,2,176
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,28,2019-11-03,0.41,1,361
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,90,2019-09-27,1.09,11,128
21145,"Private Pool, Non Smoking, Pet Friendly, Central",80511,April,,78705,30.29422,-97.74618,Entire home/apt,220,30,35,2019-11-04,0.77,1,356
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,9,2015-07-04,0.08,1,356
22828,Garage Apartment near S Congress,56488,David,,78741,30.23564,-97.73146,Entire home/apt,52,31,37,2019-08-15,0.31,1,339
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,152,2019-10-27,1.29,1,284
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,100,30,33,2019-09-30,0.28,1,259
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.08,1,0
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,30,36,2019-10-25,0.66,1,225
39152,SXSW 2020 -WOW SOON-South Austin Cosmic Groove :~>,167892,Veronica,,78704,30.25671,-97.75412,Entire home/apt,265,3,183,2019-11-03,1.64,3,13
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29996,-97.77832,Entire home/apt,59,2,139,2019-11-11,2.01,2,311
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,30,2019-09-08,0.28,1,364
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.30038,-97.77886,Entire home/apt,105,2,372,2019-11-10,3.36,2,264
47572,Harmonious Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37641,-97.70926,Private room,38,30,2,2019-09-30,0.25,1,317
50310,Super Hip South Austin Studio,230553,Sevylla,,78744,30.20093,-97.75318,Entire home/apt,40,3,253,2019-11-03,2.28,2,315
50318,Scooby Doo House,12409,Flip,,78705,30.28625,-97.75022,Entire home/apt,130,30,30,2019-11-04,0.27,2,344
51100,Walking distance to ACL,235136,Charla,,78703,30.28188,-97.76413,Entire home/apt,500,3,2,2019-05-12,0.02,1,316
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.2444,-97.75121,Entire home/apt,165,2,164,2019-11-04,1.55,2,89
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25596,-97.76866,Entire home/apt,99,1,623,2019-11-05,5.77,2,350
68130,Hyde Park Flat - Bamboo Floors,336916,Drew,,78751,30.31171,-97.72455,Entire home/apt,89,2,459,2019-10-28,4.28,1,63
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.2607,-97.77194,Entire home/apt,145,2,96,2019-11-11,0.92,2,318
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.23152,-97.76434,Entire home/apt,105,2,428,2019-11-05,4.04,1,321
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23616,-97.76446,Entire home/apt,150,2,29,2019-11-10,1.10,1,88
70659,Private Cottage-Near UT/Hyde Park,359112,Sara,,78722,30.2912,-97.71956,Entire home/apt,110,2,218,2019-10-13,2.05,2,358
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24501,-97.74986,Entire home/apt,165,2,137,2019-11-10,1.30,2,86
72318,"Private, Super Cool, and very Close In",374529,Alyson & Max,,78704,30.2532,-97.77891,Private room,125,3,38,2018-10-15,0.36,3,41
72633,Architect Designed - Great Location,377037,Becca,,78704,30.24604,-97.75329,Entire home/apt,470,2,40,2019-10-07,0.38,1,338
